PERMIT_NUMBER,NAICS_CODE,NAICS_DESC,SIC_CODE,SIC_DESC
NHR05J01Z,,,4212,"Local Trucking, Without Storage"
NHR05J020,,,5015,"Motor Vehicle Parts, Used"
NHR05J021,,,3357,Nonferrous Wiredrawing & Insulating
NHR05J022,,,4215,"Courier Services, Except By Air"
NHR05J023,,,1442,Construction Sand And Gravel
NHR05J024,,,1442,Construction Sand And Gravel
NHR05J025,,,1442,Construction Sand And Gravel
NHR05J026,,,4581,"Airports, Flying Fields, & Services"
NHR05J027,,,5093,Scrap And Waste Materials
NHR05J028,,,2421,"Sawmills And Planing Mills, General"
NHR05J029,,,5093,Scrap And Waste Materials
NHR05J02A,,,2448,Wood Pallets And Skids
NHR05J02B,,,5093,Scrap And Waste Materials
NHR05J02C,,,1429,Crushed And Broken Stone
NHR05J02E,,,2411,Logging
NHR05J02G,,,1442,Construction Sand And Gravel
NHR05J02H,,,4231,Trucking Terminal Facilities
NHR05J02I,,,3585,Refrigeration And Heating Equipment
NHR05J02J,,,5015,"Motor Vehicle Parts, Used"
NHR05J02K,,,4225,General Warehousing And Storage
NHR05J02L,,,4522,"Air Transportation, Nonscheduled"
NHR05J02M,,,4214,Local Trucking With Storage
NHR05J02N,,,4215,"Courier Services, Except By Air"
NHR05J02O,,,5015,"Motor Vehicle Parts, Used"
NHR05J02R,,,4581,"Airports, Flying Fields, & Services"
NHR05J02S,,,1442,Construction Sand And Gravel
NHR05J02T,,,5015,"Motor Vehicle Parts, Used"
NHR05J02U,,,5015,"Motor Vehicle Parts, Used"
NHR05J02V,,,5015,"Motor Vehicle Parts, Used"
NHR05J02W,,,1429,Crushed And Broken Stone
NHR05J02X,,,5015,"Motor Vehicle Parts, Used"
NHR05J02Y,,,5015,"Motor Vehicle Parts, Used"
NHR05J02Z,,,2421,"Sawmills And Planing Mills, General"
NHR05J030,,,5093,Scrap And Waste Materials
NHR05J031,,,5015,"Motor Vehicle Parts, Used"
NHR05J032,,,5015,"Motor Vehicle Parts, Used"
NHR05J033,,,5015,"Motor Vehicle Parts, Used"
NHR05J034,,,1442,Construction Sand And Gravel
NHR05J035,,,4151,School Buses
NHR05J036,,,4151,School Buses
